img_id,seq_id,frame_id,cat_id,bbox_area,aspect_ratio,gt_area_px,pred_area_px,iou,sam_score,matched,n_obj
1000007,10,7,3,3680.0,0.575,2660,2727,0.9370729953254225,0.8104830980300903,True,3
1000007,10,7,3,4512.0,0.5106382978723404,3552,3288,0.9084821428571429,0.836243748664856,True,3
1000008,10,8,3,3976.0,0.7887323943661971,3237,3260,0.9296109296109296,0.9011658430099487,True,3
1000008,10,8,3,4400.0,0.5681818181818182,2945,3066,0.890251572327044,0.8996613025665283,True,3
1000008,10,8,3,6328.0,0.49557522123893805,4844,4557,0.9280147662018048,0.7526671290397644,True,3
1000009,10,9,3,3933.0,0.8260869565217391,3205,3152,0.9369287020109689,0.8726913928985596,True,3
1000009,10,9,3,5376.0,0.5833333333333334,2818,3047,0.8828250401284109,0.7955383062362671,True,3
1000009,10,9,3,9504.0,0.4583333333333333,7103,6854,0.9113941385921666,0.8718327283859253,True,3
1000010,10,10,3,4002.0,0.8405797101449275,3132,102,0.032567049808429116,0.8080143332481384,True,3
1000010,10,10,3,7371.0,0.5384615384615384,1994,10713,0.00889241762604208,0.8940837979316711,True,3
1000010,10,10,3,15280.0,0.418848167539267,11279,10713,0.9227137611470537,0.8940837979316711,True,3
1000011,10,11,3,3864.0,0.8115942028985508,3091,3107,0.9111933395004626,0.8873211145401001,True,3
1000011,10,11,3,1212.0,0.1188118811881188,664,17422,0.03183477863989046,0.845964789390564,True,3
1000011,10,11,3,23587.0,0.4497816593886463,17584,17190,0.9244050913115661,0.9328741431236267,True,3
1000012,10,12,3,3876.0,0.8382352941176471,3044,3113,0.9138949331675474,0.8991068601608276,True,3
1000012,10,12,3,3729.0,0.2920353982300885,1900,1434,0.63913470993117,0.8326775431632996,True,3
1000012,10,12,3,12928.0,0.7890625,10104,10325,0.909430787924105,0.909799337387085,True,3
1000013,10,13,3,3696.0,0.8484848484848485,3004,3008,0.9232245681381958,0.8788971900939941,True,2
1000013,10,13,3,2695.0,2.2,2052,1928,0.9311014070839398,0.924181342124939,True,2
1000014,10,14,3,3696.0,0.8484848484848485,2992,3035,0.9157660521296885,0.8970460891723633,True,1
1000015,10,15,3,3640.0,0.8615384615384616,2914,3023,0.9126932989690721,0.8861939907073975,True,1
1000016,10,16,3,3584.0,0.875,2881,2978,0.9140803658934988,0.8926902413368225,True,1
1000017,10,17,3,3696.0,0.8484848484848485,2900,2937,0.8835108099386899,0.8984673619270325,True,1
1000018,10,18,3,3575.0,0.8461538461538461,2837,2829,0.9000670690811536,0.9004700183868408,True,1
1000019,10,19,3,3465.0,0.873015873015873,2731,2755,0.9028789455428373,0.9130949974060059,True,1
1000020,10,20,3,3402.0,0.8571428571428571,2689,2753,0.9182234755022911,0.9172775745391846,True,1
1000021,10,21,3,3348.0,0.8709677419354839,2667,2785,0.9244617013766325,0.9159492254257202,True,1
1000022,10,22,3,3410.0,0.8870967741935484,2672,2712,0.9283667621776505,0.9370605945587158,True,1
1000023,10,23,3,3410.0,0.8870967741935484,2686,2660,0.9250990277277638,0.9309755563735962,True,1
1000024,10,24,3,3410.0,0.8870967741935484,2636,2628,0.9169701383831027,0.9255284070968628,True,1
1000025,10,25,3,3245.0,0.9322033898305084,2639,2628,0.9215614739146297,0.9228627681732178,True,1
1000026,10,26,3,3300.0,0.9166666666666666,2626,2621,0.9038461538461539,0.9381483793258667,True,1
1000027,10,27,3,3190.0,0.9482758620689655,2583,2598,0.9040793825799338,0.9290156364440918,True,1
1000028,10,28,3,3135.0,0.9649122807017544,2589,2589,0.9135254988913526,0.9099717736244202,True,1
1000029,10,29,3,3135.0,0.9649122807017544,2558,2560,0.8906538603620244,0.8967409133911133,True,1
1000030,10,30,3,3190.0,0.9482758620689655,2584,2556,0.8869309838472834,0.8972733020782471,True,1
1000031,10,31,3,3135.0,0.9649122807017544,2530,2574,0.894580549368968,0.9047963619232178,True,1
1000032,10,32,3,3190.0,0.9482758620689655,2579,2699,0.8823109843081313,0.9152745008468628,True,1
1000033,10,33,3,3078.0,0.9473684210526315,2526,2668,0.8852994555353902,0.9037845730781555,True,1
